epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,17.3351,1.24473,10.9232,1.37247,0.73166,0.70324,0.79714,0.60047,0.91312,2.04181,1.14103,0.00036,0.00012,0.00036,0.00012,0.00036,0.00012,0.00036,0.00012
2,29.2769,1.17856,4.87125,1.32197,0.82168,0.64706,0.78148,0.58243,0.91572,2.4724,1.14565,0.000749112,0.000249704,0.000749112,0.000249704,0.000749112,0.000249704,0.000749112,0.000249704
3,39.7387,1.30452,9.49187,1.47036,0.76955,0.64253,0.74924,0.55103,0.99351,3.74714,1.15456,0.00110496,0.00036832,0.00110496,0.00036832,0.00110496,0.00036832,0.00110496,0.00036832
4,50.6045,1.07982,4.43496,1.24569,0.71044,0.66063,0.73301,0.54026,1.00711,4.18352,1.15231,0.00142754,0.000475848,0.00142754,0.000475848,0.00142754,0.000475848,0.00142754,0.000475848
5,63.6758,1.19677,5.10861,1.39733,0.64728,0.70136,0.69736,0.51399,1.09822,5.24259,1.183,0.00171686,0.000572288,0.00171686,0.000572288,0.00171686,0.000572288,0.00171686,0.000572288
6,76.7569,1.04717,5.26147,1.18872,0.67559,0.65019,0.68486,0.49757,1.11671,5.13169,1.19684,0.00197292,0.00065764,0.00197292,0.00065764,0.00197292,0.00065764,0.00197292,0.00065764
7,90.9382,1.13552,2.97778,1.2282,0.67559,0.65019,0.68486,0.49757,1.11671,5.13169,1.19684,0.00219571,0.000731904,0.00219571,0.000731904,0.00219571,0.000731904,0.00219571,0.000731904
8,104.877,1.09395,2.31373,1.29932,0.6648,0.61024,0.66176,0.48275,1.09936,6.01714,1.19184,0.00238524,0.00079508,0.00238524,0.00079508,0.00238524,0.00079508,0.00238524,0.00079508
9,118.155,1.08308,3.94477,1.24782,0.63419,0.65611,0.6401,0.46668,1.12337,6.06292,1.19648,0.0025415,0.000847168,0.0025415,0.000847168,0.0025415,0.000847168,0.0025415,0.000847168
10,128.938,1.19721,2.75032,1.34925,0.63419,0.65611,0.6401,0.46668,1.12337,6.06292,1.19648,0.0026645,0.000888168,0.0026645,0.000888168,0.0026645,0.000888168,0.0026645,0.000888168
11,140.982,1.21455,4.46831,1.35283,0.62356,0.65611,0.61882,0.45398,1.12685,6.54621,1.20248,0.00275424,0.00091808,0.00275424,0.00091808,0.00275424,0.00091808,0.00275424,0.00091808
12,150.741,1.16615,2.72547,1.27525,0.62356,0.65611,0.61882,0.45398,1.12685,6.54621,1.20248,0.00281071,0.000936904,0.00281071,0.000936904,0.00281071,0.000936904,0.00281071,0.000936904
13,164.048,1.32239,11.1222,1.4971,0.62095,0.62896,0.59212,0.43488,1.13073,6.67327,1.2101,0.00283392,0.00094464,0.00283392,0.00094464,0.00283392,0.00094464,0.00283392,0.00094464
14,174.255,1.163,3.15125,1.33678,0.62095,0.62896,0.59212,0.43488,1.13073,6.67327,1.2101,0.00282386,0.000941288,0.00282386,0.000941288,0.00282386,0.000941288,0.00282386,0.000941288
15,185.569,1.1575,7.71765,1.27838,0.5526,0.61991,0.54584,0.40662,1.10396,7.38977,1.20524,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
16,197.132,2.23819,38.2431,2.01325,0.5526,0.61991,0.54584,0.40662,1.10396,7.38977,1.20524,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
17,211.134,1.58376,49.3472,1.4468,0.47906,0.58371,0.50694,0.37135,1.25192,7.96615,1.29065,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
18,223.429,1.60706,17.932,1.57817,0.47906,0.58371,0.50694,0.37135,1.25192,7.96615,1.29065,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
19,233.958,1.13876,2.64792,1.25423,0.47906,0.58371,0.50694,0.37135,1.25192,7.96615,1.29065,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
20,248.452,1.15009,30.3383,1.17486,0.47769,0.59276,0.48486,0.34661,1.31208,7.62056,1.32539,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
21,266.951,1.82036,17.4168,1.52643,0.47769,0.59276,0.48486,0.34661,1.31208,7.62056,1.32539,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
22,290.886,1.25707,3.77069,1.39084,0.47612,0.57014,0.47766,0.33702,1.3361,8.28616,1.34251,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
23,313.972,1.59392,13.3374,1.6744,0.47612,0.57014,0.47766,0.33702,1.3361,8.28616,1.34251,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
24,324.057,1.30951,11.0352,1.37487,0.49722,0.53846,0.48205,0.34174,1.3096,9.76674,1.32076,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
25,331.512,1.09695,2.82132,1.27433,0.49722,0.53846,0.48205,0.34174,1.3096,9.76674,1.32076,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
